# Fix print output for fix def
"Strain,Stess in X,Stress in Y,Strees in z"	
"0.155000000000002 , 41.4736779794933 , 41.4055523530189 , 66.2081043873376"		
"0.155100000000002 , 41.5079952466051 , 41.6094160408494 , 66.3656730416043"		
"0.155200000000002 , 41.5940263823164 , 41.6097207752969 , 66.4532043344654"		
"0.155300000000002 , 41.5402706507752 , 41.6220813951589 , 66.406911379897"		
"0.155400000000002 , 41.6365101788324 , 41.5862697189014 , 66.4290613738374"		
"0.155500000000002 , 41.6288881507127 , 41.5549275339219 , 66.4570476487255"		
"0.155600000000002 , 41.559004385584 , 41.5896670494119 , 66.4717078547385"		
"0.155700000000002 , 41.6000324809084 , 41.5269436967772 , 66.5094391337885"		
"0.155800000000002 , 41.7202097872596 , 41.6976658098028 , 66.6162163781366"		
"0.155900000000002 , 41.7226912278948 , 41.6442951728129 , 66.6268239321442"		
"0.156000000000002 , 41.8161022234182 , 41.7608685480479 , 66.8190234358161"		
"0.156100000000002 , 41.5527149145194 , 41.5914578372741 , 66.5029825060835"		
"0.156200000000002 , 41.6096153058322 , 41.5973105211519 , 66.5761733332295"		
"0.156300000000002 , 41.6142355979832 , 41.6210363270406 , 66.5058517225825"		
"0.156400000000002 , 41.5775205903083 , 41.6547495287272 , 66.6046989485359"		
"0.156500000000002 , 41.7602069003543 , 41.7793564683915 , 66.7616768028683"		
"0.156600000000002 , 41.5201801793655 , 41.5492488560989 , 66.522797243372"		
"0.156700000000002 , 41.5911520896561 , 41.5656497785352 , 66.5741241757433"		
"0.156800000000002 , 41.5545095008394 , 41.6591983334715 , 66.604250375118"		
"0.156900000000002 , 41.6353403057703 , 41.5647984520937 , 66.6599730143921"		
"0.157000000000002 , 41.6248559046393 , 41.5871015469131 , 66.6661364225136"		
"0.157100000000002 , 41.7230988958815 , 41.7474709955862 , 66.9077280358247"		
"0.157200000000002 , 41.7479253380268 , 41.6799446257992 , 66.8839997528139"		
"0.157300000000002 , 41.5528286728285 , 41.5796189791418 , 66.6803799357577"		
"0.157400000000002 , 41.7270027866424 , 41.7839393669867 , 66.9140343019651"		
"0.157500000000002 , 41.7334765998506 , 41.7396592202602 , 66.9284560855731"		
"0.157600000000002 , 41.6630139191081 , 41.6691339193672 , 66.7573735037056"		
"0.157700000000002 , 41.5956054733421 , 41.6268026145454 , 66.673628195952"		
"0.157800000000002 , 41.5702855334014 , 41.6496133642189 , 66.7545867444002"		
"0.157900000000002 , 41.5162984143985 , 41.5269750487757 , 66.6536028408599"		
"0.158000000000002 , 41.6555486549753 , 41.6602936743183 , 66.7911428486729"		
"0.158100000000002 , 41.663802191201 , 41.7219796908645 , 66.8308742983273"		
"0.158200000000002 , 41.6877089404432 , 41.7396412137058 , 66.8556726198066"		
"0.158300000000002 , 41.7458956536546 , 41.7434282444568 , 66.9962066244555"		
"0.158400000000002 , 41.6965676023954 , 41.7418109008611 , 66.9333632296256"		
"0.158500000000002 , 41.7366944912859 , 41.7040265582734 , 66.9911348725659"		
"0.158600000000002 , 41.7184641176028 , 41.7144725214212 , 67.0095574612406"		
"0.158700000000002 , 41.753133121399 , 41.7528809158846 , 66.9446589920292"		
"0.158800000000002 , 41.7299034454186 , 41.777724118206 , 67.0983588570311"		
"0.158900000000002 , 41.7515605609965 , 41.7588806642592 , 67.1575411153442"		
"0.159000000000002 , 41.7999273271784 , 41.8495282247007 , 67.0984140510515"		
"0.159100000000002 , 41.8157193813946 , 41.8121609154841 , 67.2457199170713"		
"0.159200000000002 , 41.6771433091627 , 41.7034960233143 , 67.0171329994697"		
"0.159300000000002 , 41.7552975076936 , 41.7179757702037 , 66.9577373661884"		
"0.159400000000002 , 41.8817710572039 , 41.8202918055024 , 67.1761023249069"		
"0.159500000000002 , 41.7709234962382 , 41.754620945174 , 67.1269189303242"		
"0.159600000000002 , 41.7950623155743 , 41.8169018990989 , 67.1436740701072"		
"0.159700000000002 , 41.7965510058582 , 41.8074440691424 , 67.2085005274041"		
"0.159800000000002 , 41.6514591155241 , 41.6611014905694 , 66.9347085860827"		
"0.159900000000002 , 41.9295469851456 , 41.9827263248601 , 67.3538074201688"		
"0.160000000000002 , 41.7749523964425 , 41.7952183270259 , 67.2643723880711"		
"0.160100000000002 , 41.8921604246604 , 41.8063295192381 , 67.3056927837187"		
"0.160200000000002 , 41.7483108163195 , 41.8226517256389 , 67.09159578759"		
"0.160300000000002 , 41.7714581890776 , 41.732783007116 , 67.1801774495427"		
"0.160400000000002 , 41.8345460700047 , 41.7661999150194 , 67.267989827063"		
"0.160500000000002 , 41.7426733439123 , 41.7423772102014 , 67.1459011651174"		
"0.160600000000002 , 41.816528891658 , 41.7843821646532 , 67.197319835025"		
"0.160700000000002 , 41.7468227085635 , 41.8781182838741 , 67.3553897172512"		
"0.160800000000002 , 41.8214674496981 , 41.8021897141769 , 67.3287278750485"		
"0.160900000000002 , 41.7902008546677 , 41.6556148458946 , 67.2245315208405"		
"0.161000000000002 , 41.7850523961581 , 41.8440334728366 , 67.3718999721605"		
"0.161100000000002 , 41.8870436857832 , 41.8099474388867 , 67.4008169658284"		
"0.161200000000002 , 42.0319403286101 , 42.000396348049 , 67.6598939130922"		
"0.161300000000002 , 41.7679243585996 , 41.7440659492404 , 67.2987820635009"		
"0.161400000000002 , 41.908554931142 , 41.9236648301371 , 67.5638055447247"		
"0.161500000000002 , 41.69199790732 , 41.827618588892 , 67.2326336866352"		
"0.161600000000002 , 41.9325222144126 , 41.9371131555021 , 67.5077807940725"		
"0.161700000000002 , 41.8712749675882 , 41.8696701661919 , 67.5555019451657"		
"0.161800000000002 , 41.6934056962306 , 41.750014353018 , 67.3013653351634"		
"0.161900000000002 , 41.8030625808278 , 41.8305550295399 , 67.4139828375885"		
"0.162000000000002 , 41.8742321011731 , 41.9366174034752 , 67.6181308470657"		
"0.162100000000002 , 41.862296847611 , 41.8562421439454 , 67.5201029488342"		
"0.162200000000002 , 42.0254127448585 , 41.9361748846248 , 67.6631713958948"		
"0.162300000000002 , 41.8799508851767 , 41.865555610525 , 67.5182111064076"		
"0.162400000000002 , 41.8537956729664 , 41.8214943655569 , 67.5326793153166"		
"0.162500000000002 , 41.8112078029534 , 41.8480752212316 , 67.509170310568"		
"0.162600000000002 , 41.9825603441855 , 41.9819945492564 , 67.7232094768602"		
"0.162700000000002 , 41.9929282392825 , 42.0491848382185 , 67.8031084597394"		
"0.162800000000002 , 42.1306569907196 , 42.0015285672231 , 67.8243872935073"		
"0.162900000000002 , 41.8384425675341 , 41.9092953721902 , 67.6518406342364"		
"0.163000000000002 , 41.8734974823076 , 41.8633076583334 , 67.6277322777422"		
"0.163100000000002 , 41.9840376811918 , 41.9846565736489 , 67.8646047712298"		
"0.163200000000002 , 41.8684651914895 , 41.7915599398279 , 67.5841013428911"		
"0.163300000000002 , 42.087765100675 , 42.08878501991 , 67.8947221547667"		
"0.163400000000002 , 41.8512580804521 , 41.8872202601118 , 67.7242736610307"		
"0.163500000000002 , 42.0051151811506 , 41.9803564184808 , 67.8989951892308"		
"0.163600000000002 , 41.8895983655913 , 41.9854176734487 , 67.7442637850799"		
"0.163700000000002 , 41.9091578520457 , 41.9869036963242 , 67.8637827429062"		
"0.163800000000002 , 41.9135160087329 , 42.0046519277324 , 67.8299806138943"		
"0.163900000000002 , 41.9470742471238 , 41.9404892894415 , 67.763429078353"		
"0.164000000000002 , 41.8841728961985 , 41.8403266285041 , 67.6758764034096"		
"0.164100000000002 , 41.8781923432765 , 41.8782515877646 , 67.7017652768809"		
"0.164200000000002 , 41.9602357391349 , 41.8674115681101 , 67.8462992857632"		
"0.164300000000002 , 41.9777783321218 , 41.9374971850486 , 67.9806590172374"		
"0.164400000000002 , 42.0125174591833 , 41.971875542913 , 68.0074008087635"		
"0.164500000000002 , 41.9803234483355 , 42.0310478892426 , 67.9623327922276"		
"0.164600000000002 , 41.8394057302699 , 41.7848081745702 , 67.7821364505367"		
"0.164700000000002 , 42.0939606674068 , 42.087237145018 , 68.138276251878"		
"0.164800000000002 , 41.9704815105216 , 41.9814908443862 , 68.0854824915901"		
"0.164900000000002 , 41.9370813322219 , 41.918681396833 , 67.9727395499217"		
"0.165000000000002 , 41.9111450309172 , 41.960601299041 , 68.0002892148182"		
"0.165100000000002 , 42.0385236710349 , 42.0838771988705 , 68.1463630973832"		
"0.165200000000002 , 41.8707448145412 , 41.8895156582887 , 67.8475905870676"		
"0.165300000000002 , 41.9958160901242 , 41.9780151147192 , 68.0486857212847"		
"0.165400000000002 , 41.9822954933619 , 41.9921653205353 , 68.1103120564609"		
"0.165500000000002 , 42.0649715511138 , 42.0852544515591 , 68.2340800629646"		
"0.165600000000002 , 41.9067892797579 , 41.9693396182792 , 67.9957908011612"		
"0.165700000000002 , 41.9565314068982 , 42.0127489727835 , 68.0661424447627"		
"0.165800000000002 , 41.9839313421027 , 41.9480105313248 , 68.0680639890869"		
"0.165900000000002 , 42.0651608823525 , 42.072220601431 , 68.162932823293"		
"0.166000000000002 , 41.7240913975217 , 41.8328452251602 , 67.9012294121068"		
"0.166100000000002 , 42.0754220523235 , 42.0966679205919 , 68.2185160427674"		
"0.166200000000002 , 41.9994392156619 , 41.9658983648552 , 68.2124625266443"		
"0.166300000000002 , 41.9694988741524 , 41.8909784354239 , 68.002438661143"		
"0.166400000000002 , 41.936440197115 , 41.8856041004631 , 67.9894305823762"		
"0.166500000000002 , 42.01593303655 , 42.0283217583076 , 68.2136601140264"		
"0.166600000000002 , 42.0149865783549 , 41.9317039816446 , 68.2345037136561"		
"0.166700000000002 , 42.0554032927535 , 42.0231884845147 , 68.2124817461999"		
"0.166800000000002 , 41.9400601642405 , 42.020011089785 , 68.2131125939601"		
"0.166900000000002 , 42.0996055071257 , 42.1296230317551 , 68.3398763951837"		
"0.167000000000002 , 42.1113623138878 , 42.0417347303896 , 68.3526595596463"		
"0.167100000000002 , 41.9970297311307 , 41.9205432038724 , 68.1060883443292"		
"0.167200000000002 , 41.9097742802077 , 41.8582423176124 , 68.0927873662704"		
"0.167300000000002 , 42.0898422481929 , 42.0726162797802 , 68.3600070187359"		
"0.167400000000002 , 42.0463349374316 , 42.045994910309 , 68.3414020076122"		
"0.167500000000002 , 42.0809366331165 , 42.0428272167006 , 68.391448918171"		
"0.167600000000002 , 42.0490962393889 , 42.0053402240506 , 68.4098739738905"		
"0.167700000000002 , 42.0886824490482 , 42.1446236454309 , 68.4838483752035"		
"0.167800000000002 , 42.0530928322793 , 41.9730009983705 , 68.3448940202593"		
"0.167900000000002 , 42.0410975831567 , 41.9535130163848 , 68.4111253771498"		
"0.168000000000002 , 41.9779670806465 , 42.0353486311441 , 68.2935571589153"		
"0.168100000000002 , 42.1038712403645 , 42.0506151578069 , 68.3969132852866"		
"0.168200000000002 , 42.0024081338306 , 42.0353963642173 , 68.3672072671868"		
"0.168300000000002 , 42.01089918962 , 41.9812065665693 , 68.3246642628527"		
"0.168400000000002 , 42.1202183367401 , 42.0749201833282 , 68.5931014017555"		
"0.168500000000002 , 42.0602949103958 , 42.1010104682292 , 68.4839805269076"		
"0.168600000000002 , 42.141678005271 , 42.1029545342731 , 68.6531183025414"		
"0.168700000000002 , 41.9988051846528 , 42.003917598403 , 68.3786725220176"		
"0.168800000000002 , 42.0392994355358 , 42.0361970726872 , 68.4966941749999"		
"0.168900000000002 , 42.1874930032924 , 42.1556423209648 , 68.5096322414001"		
"0.169000000000002 , 42.0250850957801 , 42.0494979915021 , 68.5580938437512"		
"0.169100000000002 , 42.1348144259759 , 41.9992124239028 , 68.4733616857322"		
"0.169200000000002 , 42.2259309318856 , 42.1918634994898 , 68.6775028344819"		
"0.169300000000002 , 41.9988790484014 , 41.9346002896726 , 68.4919719737223"		
"0.169400000000002 , 42.0036849313547 , 42.0278919503069 , 68.4352868627964"		
"0.169500000000002 , 42.1837226236563 , 42.1074787966702 , 68.7474522133599"		
"0.169600000000002 , 42.2544820212522 , 42.2460449718941 , 68.8340697868806"		
"0.169700000000002 , 42.2500478868848 , 42.2409542206424 , 68.8091344616436"		
"0.169800000000002 , 42.071556451555 , 42.1029060811406 , 68.644564738503"		
"0.169900000000002 , 41.9954108935218 , 41.9385242971649 , 68.4114012353757"		
"0.170000000000002 , 42.122491949096 , 42.1765402030209 , 68.7254893095435"		
"0.170100000000002 , 42.2478617571376 , 42.2523928178515 , 68.8614811740354"		
"0.170200000000002 , 42.0742523493252 , 42.0654264539301 , 68.6629600835506"		
"0.170300000000002 , 42.2353798085485 , 42.2190759519287 , 68.863648508215"		
"0.170400000000002 , 42.1062736546918 , 42.1213419766183 , 68.7170309365468"		
"0.170500000000002 , 41.973595934041 , 41.9491437132725 , 68.481087301827"		
"0.170600000000002 , 42.0888124766574 , 42.1126269921451 , 68.6338642269504"		
"0.170700000000002 , 42.1494222033479 , 42.1614214222134 , 68.7651753211627"		
"0.170800000000002 , 42.077448662392 , 42.0524663514178 , 68.6707853398885"		
"0.170900000000002 , 42.1432741735881 , 42.1399255254919 , 68.6723093972241"		
"0.171000000000002 , 42.0757172443871 , 42.0615687230852 , 68.7748260525295"		
"0.171100000000002 , 42.0653351805931 , 42.1337257312697 , 68.7093014659972"		
"0.171200000000002 , 41.9848461621516 , 42.0574605747352 , 68.7349281269477"		
"0.171300000000002 , 42.1814659472397 , 42.2553325804255 , 68.9636541115753"		
"0.171400000000002 , 42.0432393251495 , 41.9529588476391 , 68.6983437148823"		
"0.171500000000002 , 42.0155559457961 , 42.0826923105344 , 68.7041307273715"		
"0.171600000000002 , 42.068047374194 , 42.1211887607816 , 68.8086058706433"		
"0.171700000000002 , 42.1350138179274 , 42.020890114431 , 68.8218846195676"		
"0.171800000000002 , 42.1322248861622 , 42.157557621247 , 68.8562176628965"		
"0.171900000000002 , 42.0835972428448 , 42.0159451836786 , 68.7781579434546"		
"0.172000000000002 , 42.1748449944041 , 42.1455941622314 , 68.9042825192967"		
"0.172100000000002 , 41.9871581776191 , 42.0546002653915 , 68.7078226746437"		
"0.172200000000002 , 42.1038446128052 , 42.1028166835094 , 68.8728338745132"		
"0.172300000000002 , 42.0731850828154 , 42.1236924997062 , 68.9334216796544"		
"0.172400000000002 , 42.2495226033717 , 42.2937404433458 , 69.1989777955571"		
"0.172500000000002 , 42.1566691180039 , 42.1833009874725 , 69.0139080352329"		
"0.172600000000002 , 42.0836869280891 , 42.1474657178278 , 68.9651592761458"		
"0.172700000000002 , 42.262041958729 , 42.2319685235876 , 69.1934020473057"		
"0.172800000000002 , 42.093426926687 , 42.1296950712906 , 69.0588346078459"		
"0.172900000000002 , 42.1821619714173 , 42.1601285299255 , 69.1179464758145"		
"0.173000000000002 , 42.1549280033639 , 42.1534409342356 , 69.0619671348649"		
"0.173100000000002 , 42.1652474952375 , 42.2331418219288 , 69.1444306641362"		
"0.173200000000002 , 42.0035447898674 , 41.9597642297781 , 68.8328523304037"		
"0.173300000000002 , 42.1887458648284 , 42.2240761011281 , 69.1359414398876"		
"0.173400000000002 , 42.0904362917542 , 42.051258454193 , 68.9585289444531"		
"0.173500000000002 , 41.9458149562673 , 41.9728792731245 , 68.8435035731467"		
"0.173600000000002 , 42.1974607168873 , 42.2364563211275 , 69.1813936148164"		
"0.173700000000002 , 42.0373270508901 , 42.0022042613157 , 68.9602590660074"		
"0.173800000000002 , 42.1923856787549 , 42.1706024987165 , 69.1189133895869"		
"0.173900000000002 , 42.1308587807304 , 42.0662391666057 , 69.0422834290087"		
"0.174000000000002 , 41.942720636954 , 41.9526178282547 , 68.8313462162644"		
"0.174100000000002 , 42.2325831331541 , 42.2247130630792 , 69.2413747147787"		
"0.174200000000002 , 42.2167883308021 , 42.1753773470176 , 69.2486798576162"		
"0.174300000000002 , 42.0705619212801 , 41.960956261069 , 69.0357297234828"		
"0.174400000000002 , 42.2799345625231 , 42.3133589647004 , 69.4046640900359"		
"0.174500000000002 , 42.0804132961979 , 42.1970645950473 , 69.2227382416822"		
"0.174600000000002 , 42.3411625296306 , 42.3168637920023 , 69.5100705797722"		
"0.174700000000002 , 42.0697730362381 , 42.1040094455764 , 69.169420161294"		
"0.174800000000002 , 41.9597318365309 , 41.9238153745279 , 69.0082234772698"		
"0.174900000000002 , 42.2860254492957 , 42.318866671936 , 69.3991470223942"		
"0.175000000000002 , 42.213362048691 , 42.2751722807956 , 69.4071844749569"		
"0.175100000000002 , 42.1026879921707 , 42.119676029504 , 69.2276968752808"		
"0.175200000000002 , 41.9987299019403 , 42.1118372224383 , 69.1433655666031"		
"0.175300000000002 , 42.244933238112 , 42.2472903240665 , 69.4013312583368"		
"0.175400000000002 , 42.2147631757644 , 42.1706049001831 , 69.3880352629983"		
"0.175500000000002 , 42.1544608652289 , 42.1401018686485 , 69.3289741150244"		
"0.175600000000002 , 42.2011800747778 , 42.1574284211937 , 69.3290282006726"		
"0.175700000000002 , 42.1874177787786 , 42.2647653437583 , 69.3642594345417"		
"0.175800000000002 , 42.1551284606058 , 42.1105095098641 , 69.2162884389063"		
"0.175900000000002 , 42.2270579516438 , 42.3201573401235 , 69.5057202213535"		
"0.176000000000002 , 42.2903381026412 , 42.223255461727 , 69.5806657627472"		
"0.176100000000002 , 42.2583189418205 , 42.1984992267686 , 69.4768242503377"		
"0.176200000000002 , 42.2009392919387 , 42.1835074343594 , 69.3928130426684"		
"0.176300000000002 , 42.1761064781245 , 42.2066826139106 , 69.4808181761401"		
"0.176400000000002 , 42.2960815901613 , 42.2680115939591 , 69.4847603136582"		
"0.176500000000002 , 42.0879885375565 , 42.1853951328887 , 69.4026346946648"		
"0.176600000000002 , 42.1730219357827 , 42.2227646417724 , 69.4672027555339"		
"0.176700000000002 , 42.2571222426934 , 42.2241869177031 , 69.5425223041269"		
"0.176800000000002 , 42.2480897247054 , 42.2966230263172 , 69.6116669891527"		
"0.176900000000002 , 42.0630159781801 , 42.0466353570747 , 69.3332382576027"		
"0.177000000000002 , 42.2428039273338 , 42.2164244814873 , 69.6275446359103"		
"0.177100000000002 , 42.1652161660052 , 42.188879652791 , 69.55693841852"		
"0.177200000000002 , 42.2403288888845 , 42.1212064202988 , 69.5549919055482"		
"0.177300000000002 , 42.2253546792131 , 42.169226443706 , 69.551841999397"		
"0.177400000000002 , 42.1185960840236 , 42.1375897233864 , 69.5240533112935"		
"0.177500000000002 , 42.0072843861001 , 42.0142899033697 , 69.2356196375836"		
"0.177600000000002 , 42.0418098767917 , 42.0582502794011 , 69.3604145454471"		
"0.177700000000002 , 42.2572087655116 , 42.1353802677098 , 69.5493908660815"		
"0.177800000000002 , 42.2024961325533 , 42.2427377538094 , 69.6584115371843"		
"0.177900000000002 , 42.08577997233 , 42.1284088716773 , 69.4633997538911"		
"0.178000000000002 , 42.059756306805 , 42.1331281578516 , 69.5861866359036"		
"0.178100000000002 , 42.1010689589964 , 42.0957421852134 , 69.5638170167276"		
"0.178200000000002 , 42.1959665648195 , 42.1691500009455 , 69.6250286065751"		
"0.178300000000002 , 41.9515516524585 , 42.0281179144363 , 69.4248656564018"		
"0.178400000000002 , 42.1784072057782 , 42.1153456520732 , 69.5733068379759"		
"0.178500000000002 , 42.1991096383257 , 42.2278293905301 , 69.7526420583485"		
"0.178600000000002 , 42.2363667650326 , 42.2641735997479 , 69.7582983261499"		
"0.178700000000002 , 42.1125668269897 , 42.2501443128905 , 69.761489535947"		
"0.178800000000002 , 42.0237573817087 , 42.024090395797 , 69.4408198839071"		
"0.178900000000002 , 42.098196183901 , 42.0741082418679 , 69.5951161142119"		
"0.179000000000002 , 42.1564850756802 , 42.1773771772291 , 69.6706868028152"		
"0.179100000000002 , 42.0956070137304 , 42.157804439892 , 69.6222367862116"		
"0.179200000000002 , 42.2717060426572 , 42.2488900295981 , 69.8202344924053"		
"0.179300000000002 , 42.2793469881267 , 42.3168987657822 , 69.9493546411531"		
"0.179400000000002 , 42.1209672851146 , 42.0942336363322 , 69.6353256132806"		
"0.179500000000002 , 42.2130286719228 , 42.2209567893753 , 69.7263607376588"		
"0.179600000000002 , 42.1875314774055 , 42.1902596488955 , 69.7934185895219"		
"0.179700000000002 , 42.1018587490408 , 42.0364542617219 , 69.5930575452427"		
"0.179800000000002 , 42.0713765643218 , 42.1322696296773 , 69.6968213396932"		
"0.179900000000002 , 42.1685205215437 , 42.1235821321478 , 69.6948411754278"		
"0.180000000000002 , 42.129315918233 , 42.0806581914656 , 69.6846939864317"		
"0.180100000000002 , 42.2211441856911 , 42.144576568659 , 69.7741789707832"		
"0.180200000000002 , 42.1216225851499 , 42.0540027916819 , 69.6846391126161"		
"0.180300000000002 , 42.1200125754646 , 42.0400505839015 , 69.7165587785684"		
"0.180400000000002 , 42.1771893077561 , 42.1603137839716 , 69.7919224687964"		
"0.180500000000002 , 42.3289643899623 , 42.2487026648669 , 69.9614167520547"		
"0.180600000000002 , 42.0528299875713 , 42.0746426886094 , 69.598243241953"		
"0.180700000000002 , 42.0786639445984 , 42.0263268691807 , 69.7514085331847"		
"0.180800000000002 , 42.2075844713921 , 42.1382524767194 , 69.890826610181"		
"0.180900000000002 , 42.1333222753973 , 42.0928900945861 , 69.8208697186381"		
"0.181000000000002 , 42.1620024866135 , 42.1560445783328 , 69.8986343228614"		
"0.181100000000002 , 42.2076142443302 , 42.2202848488663 , 69.9691421220191"		
"0.181200000000002 , 42.1043059518542 , 42.0828543783284 , 69.7096389268043"		
"0.181300000000002 , 42.2216115954525 , 42.3025273952638 , 70.0612475087455"		
"0.181400000000002 , 42.2034066561016 , 42.2373733060236 , 69.95388216404"		
"0.181500000000002 , 42.0127009303261 , 42.0356436560032 , 69.6610262558953"		
"0.181600000000002 , 42.2447426496331 , 42.1347661594967 , 69.886079980788"		
"0.181700000000002 , 42.2079444384009 , 42.06638717108 , 69.8640740841439"		
"0.181800000000002 , 42.2194625142283 , 42.0891335613498 , 69.9347773491053"		
"0.181900000000002 , 42.075069839946 , 42.0765576619094 , 69.836452389184"		
"0.182000000000002 , 42.2702588280626 , 42.3115370946722 , 70.1032005869123"		
"0.182100000000002 , 42.215279936768 , 42.203793419586 , 70.0856003065083"		
"0.182200000000002 , 42.019775756068 , 42.0518149919158 , 69.863145808583"		
"0.182300000000002 , 42.1432396292739 , 42.201393535628 , 70.0623286453124"		
"0.182400000000002 , 42.1210696504645 , 42.1435118554715 , 70.0260439329545"		
"0.182500000000002 , 42.099524379574 , 42.0620096965374 , 69.9247959094122"		
"0.182600000000002 , 41.8825198462983 , 41.8984547277752 , 69.6083778767647"		
"0.182700000000002 , 42.0977157724722 , 42.1303489168723 , 69.9679022011498"		
"0.182800000000002 , 42.0376066057353 , 42.0783399366766 , 69.8619637985278"		
"0.182900000000002 , 42.1143932269791 , 42.0961913074463 , 69.9885729132178"		
"0.183000000000002 , 42.1432187784729 , 42.1397338407252 , 70.1365224672702"		
"0.183100000000002 , 41.9264587564351 , 41.955200003481 , 69.7856568080077"		
"0.183200000000002 , 41.9952041349075 , 42.0535478377498 , 70.0148146782968"		
"0.183300000000002 , 42.0037948095534 , 42.0619098233486 , 69.9551338762993"		
"0.183400000000002 , 42.048691695938 , 42.1015890787773 , 70.0117139555478"		
"0.183500000000002 , 42.2006694639596 , 42.1378360703169 , 70.2053436217907"		
"0.183600000000002 , 42.0537973345312 , 42.039970966409 , 70.0657944166853"		
"0.183700000000002 , 42.2004648264265 , 42.1726368337873 , 70.2653588422214"		
"0.183800000000002 , 42.0227841946831 , 42.0475284839715 , 69.9404269019534"		
"0.183900000000002 , 42.0111542860595 , 42.0393976353379 , 70.1452197998662"		
"0.184000000000002 , 41.9905224102656 , 41.9467785432344 , 70.0914642684245"		
"0.184100000000002 , 42.1570571367454 , 42.1792311299518 , 70.1979785167453"		
"0.184200000000002 , 42.1881240316353 , 42.1261222559764 , 70.3025270008637"		
"0.184300000000002 , 42.0947916932961 , 42.1017508302628 , 70.1352441317173"		
"0.184400000000002 , 42.1436467875032 , 42.1473246018702 , 70.3020022329317"		
"0.184500000000002 , 42.2192177882431 , 42.2089417800508 , 70.3739165458065"		
"0.184600000000002 , 41.9918705929517 , 42.0964903831527 , 69.9828783702162"		
"0.184700000000002 , 42.0710342274292 , 42.0520103584684 , 70.1584831004485"		
"0.184800000000002 , 41.8876465373125 , 41.8953787007839 , 69.9114709156263"		
"0.184900000000002 , 42.0248752600992 , 42.0249912394698 , 70.1037747184405"		
"0.185000000000002 , 42.1439438712242 , 42.096980650315 , 70.3687748608229"		
"0.185100000000002 , 42.1674313342744 , 42.0829091697977 , 70.2197542317996"		
"0.185200000000002 , 42.0776434967036 , 42.0399989300596 , 70.2149065761923"		
"0.185300000000002 , 42.0247939498187 , 42.0943839445558 , 70.2049559133519"		
"0.185400000000002 , 42.1539983097851 , 42.0802773280253 , 70.3417937368472"		
"0.185500000000002 , 42.0856960626601 , 42.1331467749274 , 70.3571060545477"		
"0.185600000000002 , 42.1421488786493 , 42.1210891935512 , 70.3831113209515"		
"0.185700000000002 , 42.1741174268253 , 42.1280661067512 , 70.4428302880972"		
"0.185800000000002 , 42.0357509850179 , 41.9255883182905 , 70.1885330062182"		
"0.185900000000002 , 42.1064385900432 , 42.1996649711022 , 70.4607516284193"		
"0.186000000000002 , 42.0726993115502 , 42.0057890107496 , 70.3678038730182"		
"0.186100000000002 , 41.9432043158135 , 41.9053366472004 , 70.138122158484"		
"0.186200000000002 , 42.0234050663388 , 41.9772761186472 , 70.1840416699465"		
"0.186300000000002 , 42.0599868282358 , 42.0154631945046 , 70.2897782781531"		
"0.186400000000002 , 41.8402731507435 , 41.8424824893069 , 70.0272136028705"		
"0.186500000000002 , 42.0075975933188 , 41.8381239509938 , 70.1988387275356"		
"0.186600000000002 , 41.874485587492 , 41.8096855150125 , 70.2217216027239"		
"0.186700000000002 , 41.868505466211 , 41.7624235292697 , 70.1965988817567"		
"0.186800000000002 , 41.7090429942488 , 41.648801355204 , 70.0003468199193"		
"0.186900000000002 , 41.753258416904 , 41.4427860310534 , 70.0295665496142"		
"0.187000000000002 , 41.5982155830529 , 41.3352529589025 , 69.7810353991031"		
"0.187100000000002 , 41.4502069547439 , 41.2490681672079 , 69.6214651797575"		
"0.187200000000002 , 41.0981933342294 , 40.8198589725664 , 69.1530939867734"		
"0.187300000000002 , 41.1810962682071 , 40.6978700446932 , 69.1432372646705"		
"0.187400000000002 , 40.7804848698068 , 40.4358310845997 , 68.6312518896994"		
"0.187500000000002 , 40.5075468172482 , 39.9478565581472 , 68.1842992294294"		
"0.187600000000002 , 40.152673149754 , 39.8253758847207 , 67.8115601747067"		
"0.187700000000002 , 39.7461668713999 , 39.1746579303137 , 67.1224059422156"		
"0.187800000000002 , 39.2633576379331 , 38.5625900066002 , 66.5306707587171"		
"0.187900000000002 , 38.7663747674301 , 38.1412931119478 , 65.8951218054512"		
"0.188000000000002 , 38.6267826316536 , 37.7173804080851 , 65.2513582235004"		
"0.188100000000002 , 37.6729772627071 , 36.7049148762822 , 63.8573995852184"		
"0.188200000000002 , 36.8563862820334 , 35.8132916786561 , 62.5722968360865"		
"0.188300000000002 , 36.0394928151932 , 34.7677915833341 , 60.9429130684826"		
"0.188400000000002 , 35.1635954513583 , 33.6697053467165 , 59.2469934278368"		
"0.188500000000002 , 34.6515961712753 , 33.0283552152538 , 57.8886382684422"		
"0.188600000000002 , 33.4363212573076 , 31.9049360696075 , 55.6085709085528"		
"0.188700000000002 , 32.4013556391522 , 30.8814444792258 , 53.2417955357999"		
"0.188800000000002 , 31.394428914949 , 29.5459901655007 , 50.7984265313985"		
"0.188900000000002 , 30.4000463518454 , 28.609147546316 , 48.3691336948835"		
"0.189000000000002 , 29.4353247424189 , 27.5123297764912 , 45.8574216947456"		
"0.189100000000002 , 28.3134662042299 , 26.421973189822 , 42.85054261517"		
"0.189200000000002 , 26.4921273464393 , 24.9957891062449 , 39.5855156643305"		
