# Fix print output for fix def
"Strain,Stess in X,Stress in Y,Strees in z"	
"0.0117000000000015 , 8.40121654821112 , 8.45096693207316 , 11.9676054494942"		
"0.0118000000000016 , 8.54463416522905 , 8.5402003704402 , 12.0879489028757"		
"0.0119000000000014 , 8.51866702007139 , 8.50596858063703 , 12.1555848197117"		
"0.0120000000000014 , 8.64261111681644 , 8.75006847574293 , 12.3657459744232"		
"0.0121000000000014 , 8.66265779047851 , 8.67267461167683 , 12.360020240616"		
"0.0122000000000015 , 8.59557547094917 , 8.57997422622517 , 12.2796485640601"		
"0.0123000000000015 , 8.66776988148723 , 8.64977186065148 , 12.3975676019657"		
"0.0124000000000016 , 8.85144245036208 , 8.83887181289367 , 12.6186089387077"		
"0.0125000000000014 , 8.82728060878279 , 8.85035993347695 , 12.5994245390551"		
"0.0126000000000014 , 8.80372421163175 , 8.80829727642314 , 12.5959843719982"		
"0.0127000000000014 , 8.80367312718737 , 8.95183160633752 , 12.7410347053753"		
"0.0128000000000015 , 8.98129894132604 , 9.02807264626845 , 12.8961331365654"		
"0.0129000000000015 , 9.06681724188247 , 9.02632282698353 , 12.9690842768026"		
"0.0130000000000016 , 9.01422578382248 , 8.98413711310112 , 12.8940165106927"		
"0.0131000000000013 , 9.07573422384919 , 9.10113613929141 , 13.0076369078423"		
"0.0132000000000014 , 9.26281512780701 , 9.28590308362058 , 13.2402175660334"		
"0.0133000000000014 , 9.21344994648142 , 9.18062794252412 , 13.1244126167685"		
"0.0134000000000015 , 9.23070371879515 , 9.24025055041477 , 13.2394908210279"		
"0.0135000000000015 , 9.28446172541427 , 9.27261751852119 , 13.2844455404935"		
"0.0136000000000015 , 9.45548669350912 , 9.42786099654514 , 13.5330605970068"		
"0.0137000000000016 , 9.26049576230376 , 9.29892500023696 , 13.4598476136273"		
"0.0138000000000014 , 9.33545859913843 , 9.39380360192762 , 13.5350678559905"		
"0.0139000000000014 , 9.46692439955994 , 9.54985611325572 , 13.6622060769811"		
"0.0140000000000014 , 9.46146519839803 , 9.55557087692358 , 13.7387718678375"		
"0.0141000000000015 , 9.54015442906421 , 9.5803983950417 , 13.8102421856245"		
"0.0142000000000015 , 9.59071456723867 , 9.5849047619923 , 13.8129815778292"		
"0.0143000000000016 , 9.60096010425192 , 9.65995616015936 , 13.8146093090895"		
"0.0144000000000014 , 9.78290533011074 , 9.80136256700395 , 14.0569192855483"		
"0.0145000000000014 , 9.77490537550695 , 9.75731816945109 , 14.021144960399"		
"0.0146000000000014 , 9.78414511598525 , 9.77445935911642 , 14.0877575008286"		
"0.0147000000000015 , 9.90803012747036 , 9.96029863509786 , 14.2794239120828"		
"0.0148000000000015 , 9.82140827229335 , 9.93525114579017 , 14.274727038521"		
"0.0149000000000015 , 9.95035612847278 , 9.96458624478168 , 14.3951671664771"		
"0.0150000000000013 , 10.0136631145174 , 10.0220308941402 , 14.4147871990515"		
"0.0151000000000014 , 10.0137150715084 , 9.97103138908856 , 14.5624328170748"		
"0.0152000000000014 , 10.1493934011588 , 10.0662051924781 , 14.5856676305366"		
"0.0153000000000015 , 10.0658620091053 , 10.0698417044013 , 14.5447912544811"		
"0.0154000000000015 , 10.0807939388894 , 10.1675715203384 , 14.6690703281743"		
"0.0155000000000015 , 10.1367616940187 , 10.2622590110797 , 14.841930241657"		
"0.0156000000000016 , 10.2551916643782 , 10.232531026586 , 14.8310276470036"		
"0.0157000000000014 , 10.2831835760176 , 10.2693831808818 , 14.8953954716517"		
"0.0158000000000014 , 10.2923933155657 , 10.2398361170721 , 14.9439373757991"		
"0.0159000000000014 , 10.478490175914 , 10.4306954862479 , 15.0865743040658"		
"0.0160000000000015 , 10.3436836190675 , 10.4128961563615 , 15.0737543868264"		
"0.0161000000000015 , 10.3501782762752 , 10.4585755925031 , 15.1017182763602"		
"0.0162000000000016 , 10.6249268934304 , 10.5349771453139 , 15.3428564882789"		
"0.0163000000000014 , 10.4732671777962 , 10.478676961915 , 15.2796431706998"		
"0.0164000000000014 , 10.5220808829986 , 10.4966464200782 , 15.3620374373198"		
"0.0165000000000014 , 10.7890753136174 , 10.8166394064455 , 15.5472593117991"		
"0.0166000000000015 , 10.6741743356666 , 10.6540482812071 , 15.4689601532774"		
"0.0167000000000015 , 10.7946647323642 , 10.7841720527047 , 15.7124866080952"		
"0.0168000000000015 , 10.7605370787119 , 10.7322894732882 , 15.7327362574984"		
"0.0169000000000016 , 10.8053945533407 , 10.8616007494278 , 15.7149763411646"		
"0.0170000000000014 , 10.8306279077237 , 10.9255939287924 , 15.8136377457703"		
"0.0171000000000014 , 10.7500433858001 , 10.8569872285814 , 15.8193961144265"		
"0.0172000000000015 , 11.0216840827181 , 10.978423971616 , 16.0328164018132"		
"0.0173000000000015 , 11.0040549745707 , 10.9471580309461 , 16.0193062668995"		
"0.0174000000000015 , 10.9118700590444 , 10.8934552423158 , 15.9067739222391"		
"0.0175000000000016 , 11.1223502541043 , 11.160352159863 , 16.2087733411986"		
"0.0176000000000014 , 11.1977969780758 , 11.2734540851583 , 16.3035764531186"		
